약이름,금기성분,부작용사유
알포아티린,더치커피,뇌 대사 개선제와 고카페인이 만나면 심한 두통과 극심한 불면증이 생깁니다.
이미그란,인데놀,편두통 약과 특정 혈압약이 만나면 혈관이 과도하게 수축해 손발 저림이 극심해집니다.
나라믹,시메티딘,두통약이 위장약과 만나면 대사가 느려져 머리가 더 어지럽고 메스꺼워집니다.
졸미트립탄,프로작,편두통 치료제와 항우울제가 만나면 뇌 속 세로토닌이 폭발해 고열과 발작이 옵니다.
마이그란,커피,카페인이 든 편두통 약을 먹으며 커피를 또 마시면 심장 발작 수준의 두통이 유발됩니다.
에르고타민,클래리트로마이신,특정 두통약과 항생제가 만나면 사지 혈관이 괴사할 수 있는 절대 금기입니다.
데파코트,아스피린,편두통 예방약과 아스피린이 만나면 출혈 경향이 제어 불능으로 커집니다.
토파맥스,술,두통 예방약 복용 중 음주는 기억력을 완전히 지워버리고 극심한 어지럼증을 부릅니다.
센시발,종합감기약,신경성 두통약과 감기약 속 졸린 성분이 만나면 하루 종일 정신을 못 차립니다.
트립탄,요힘빈,편두통 약과 다이어트 성분이 만나면 혈압이 비정상적으로 치솟아 뇌졸중 위험이 생깁니다.
이디아,타이레놀,이미 해열진통제가 포함된 두통약에 타이레놀을 더하면 간세포가 파괴됩니다.
NMN,항암제,최신 세포 재생 영양제가 항암 치료 중인 암세포까지 같이 재생시켜 항암 효과를 방해할 수 있습니다.
에피게닌,수면제,직구 진정 영양제가 전문 수면제와 만나면 신경 억제 작용이 과해져 호흡 억제가 올 수 있습니다.
설포라판,고지혈증약,브로콜리 추출 영양제가 일부 고지혈증 약의 간 대사를 간섭해 근육통을 부를 수 있습니다.
테르페노이드,와파린,특정 허브 추출물이 피를 맑게 하는 약과 만나 지혈 시스템에 혼선을 줍니다.
아스타잔틴,크릴오일,중복되는 강력한 항산화 및 혈행 개선 오일 성분이 만나면 혈소판 응집을 과하게 막습니다.
스피루리나,소론도,면역 강화 영양제가 자가면역질환 처방 약물의 면역 억제 기능을 정면으로 무력화합니다.
맥주효모,자이로릭,효모 속 엄청난 퓨린 성분이 통풍 약의 효과를 완전히 누르고 통풍 통증을 재발시킵니다.
가르시니아,소주,다이어트 성분 복용 중 음주는 간 대사에 극심한 과부하를 걸어 급성 간 독성을 유발합니다.
녹차카테킨,리피토,고농축 카테킨 다이어트 약과 고지혈증 약이 만나면 간 수치가 폭발적으로 상승합니다.
